week_start,week_no,year,week
2008-08-04,32,2008,2008-32
2008-08-11,33,2008,2008-33
2008-08-18,34,2008,2008-34
2008-08-25,35,2008,2008-35
2008-09-01,36,2008,2008-36
2008-09-08,37,2008,2008-37
2008-09-15,38,2008,2008-38
2008-09-22,39,2008,2008-39
2008-09-29,40,2008,2008-40
2008-10-06,41,2008,2008-41
2008-10-13,42,2008,2008-42
2008-10-20,43,2008,2008-43
2008-10-27,44,2008,2008-44
2008-11-03,45,2008,2008-45
2008-11-10,46,2008,2008-46
2008-11-17,47,2008,2008-47
2008-11-24,48,2008,2008-48
2008-12-01,49,2008,2008-49
2008-12-08,50,2008,2008-50
2008-12-15,51,2008,2008-51
2008-12-22,52,2008,2008-52
2008-12-29,1,2008,2008-01
2009-01-05,2,2009,2009-02
2009-01-12,3,2009,2009-03
2009-01-19,4,2009,2009-04
2009-01-26,5,2009,2009-05
2009-02-02,6,2009,2009-06
2009-02-09,7,2009,2009-07
2009-02-16,8,2009,2009-08
2009-02-23,9,2009,2009-09
2009-03-02,10,2009,2009-10
2009-03-09,11,2009,2009-11
2009-03-16,12,2009,2009-12
2009-03-23,13,2009,2009-13
2009-03-30,14,2009,2009-14
2009-04-06,15,2009,2009-15
2009-04-13,16,2009,2009-16
2009-04-20,17,2009,2009-17
2009-04-27,18,2009,2009-18
2009-05-04,19,2009,2009-19
2009-05-11,20,2009,2009-20
2009-05-18,21,2009,2009-21
2009-05-25,22,2009,2009-22
2009-06-01,23,2009,2009-23
2009-06-08,24,2009,2009-24
2009-06-15,25,2009,2009-25
2009-06-22,26,2009,2009-26
2009-06-29,27,2009,2009-27
2009-07-06,28,2009,2009-28
2009-07-13,29,2009,2009-29
2009-07-20,30,2009,2009-30
2009-07-27,31,2009,2009-31
2009-08-03,32,2009,2009-32
2009-08-10,33,2009,2009-33
2009-08-17,34,2009,2009-34
2009-08-24,35,2009,2009-35
2009-08-31,36,2009,2009-36
2009-09-07,37,2009,2009-37
2009-09-14,38,2009,2009-38
2009-09-21,39,2009,2009-39
2009-09-28,40,2009,2009-40
2009-10-05,41,2009,2009-41
2009-10-12,42,2009,2009-42
2009-10-19,43,2009,2009-43
2009-10-26,44,2009,2009-44
2009-11-02,45,2009,2009-45
2009-11-09,46,2009,2009-46
2009-11-16,47,2009,2009-47
2009-11-23,48,2009,2009-48
2009-11-30,49,2009,2009-49
2009-12-07,50,2009,2009-50
2009-12-14,51,2009,2009-51
2009-12-21,52,2009,2009-52
2009-12-28,53,2009,2009-53
2010-01-04,1,2010,2010-01
2010-01-11,2,2010,2010-02
2010-01-18,3,2010,2010-03
2010-01-25,4,2010,2010-04
2010-02-01,5,2010,2010-05
2010-02-08,6,2010,2010-06
2010-02-15,7,2010,2010-07
2010-02-22,8,2010,2010-08
2010-03-01,9,2010,2010-09
2010-03-08,10,2010,2010-10
2010-03-15,11,2010,2010-11
2010-03-22,12,2010,2010-12
2010-03-29,13,2010,2010-13
2010-04-05,14,2010,2010-14
2010-04-12,15,2010,2010-15
2010-04-19,16,2010,2010-16
2010-04-26,17,2010,2010-17
2010-05-03,18,2010,2010-18
2010-05-10,19,2010,2010-19
2010-05-17,20,2010,2010-20
2010-05-24,21,2010,2010-21
2010-05-31,22,2010,2010-22
2010-06-07,23,2010,2010-23
2010-06-14,24,2010,2010-24
2010-06-21,25,2010,2010-25
2010-06-28,26,2010,2010-26
2010-07-05,27,2010,2010-27
2010-07-12,28,2010,2010-28
2010-07-19,29,2010,2010-29
2010-07-26,30,2010,2010-30
2010-08-02,31,2010,2010-31
2010-08-09,32,2010,2010-32
2010-08-16,33,2010,2010-33
2010-08-23,34,2010,2010-34
2010-08-30,35,2010,2010-35
2010-09-06,36,2010,2010-36
2010-09-13,37,2010,2010-37
2010-09-20,38,2010,2010-38
2010-09-27,39,2010,2010-39
2010-10-04,40,2010,2010-40
2010-10-11,41,2010,2010-41
2010-10-18,42,2010,2010-42
2010-10-25,43,2010,2010-43
2010-11-01,44,2010,2010-44
2010-11-08,45,2010,2010-45
2010-11-15,46,2010,2010-46
2010-11-22,47,2010,2010-47
2010-11-29,48,2010,2010-48
2010-12-06,49,2010,2010-49
2010-12-13,50,2010,2010-50
2010-12-20,51,2010,2010-51
2010-12-27,52,2010,2010-52
2011-01-03,1,2011,2011-01
2011-01-10,2,2011,2011-02
2011-01-17,3,2011,2011-03
2011-01-24,4,2011,2011-04
2011-01-31,5,2011,2011-05
2011-02-07,6,2011,2011-06
2011-02-14,7,2011,2011-07
2011-02-21,8,2011,2011-08
2011-02-28,9,2011,2011-09
2011-03-07,10,2011,2011-10
2011-03-14,11,2011,2011-11
2011-03-21,12,2011,2011-12
2011-03-28,13,2011,2011-13
2011-04-04,14,2011,2011-14
2011-04-11,15,2011,2011-15
2011-04-18,16,2011,2011-16
2011-04-25,17,2011,2011-17
2011-05-02,18,2011,2011-18
2011-05-09,19,2011,2011-19
